3.643574,29.750000,nRF52840
6.474610,29.250000,nRF52832
8.315881,29.750000,nRF52840
9.190513,29.500000,nRF52832
10.162749,29.250000,nRF52840
10.798677,29.250000,nRF52832
12.280676,29.500000,nRF52832
13.532467,29.500000,nRF52840
14.886650,29.500000,nRF52832
15.636554,29.500000,nRF52832
16.666519,29.500000,nRF52832
17.768638,29.500000,nRF52832
22.924786,29.750000,nRF52840
24.181727,29.250000,nRF52832
24.308256,29.250000,nRF52832
25.692655,30.000000,nRF52840
28.064698,29.250000,nRF52832
28.601675,29.250000,nRF52832
30.470736,29.750000,nRF52840
32.140641,30.000000,nRF52840
33.305880,29.750000,nRF52840
34.357712,29.500000,nRF52832
35.382016,30.000000,nRF52840
44.184757,29.500000,nRF52832
45.200696,30.250000,nRF52840
53.849732,29.250000,nRF52832
54.905223,30.000000,nRF52840
63.647879,29.250000,nRF52832
64.726243,30.000000,nRF52840
73.418114,29.250000,nRF52832
74.507053,30.000000,nRF52840
83.259341,29.250000,nRF52832
84.229449,29.750000,nRF52840
94.091817,30.000000,nRF52840
